city,streetAddress,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,yearBuilt,latestPrice,numPriceChanges,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,avgSchoolRating,numOfBathrooms,numOfBedrooms,numOfStories,numOfSchools,predicted_prices_nn
pflugerville,1100 Oblique Dr,78660,30.41493416,-97.64328766,1.98,2,True,True,True,False,False,Single Family,2016,279900,2,0,3,2,0,3,0,0,0,5401.0,1580,3.666666667,2.0,3,1,3,330036.3
del valle,12612 Stoney Ridge Bnd,78617,30.159338,-97.63335419,1.98,0,True,False,True,False,False,Single Family,2016,250000,1,0,4,1,0,0,0,0,0,4965.0,2281,3.0,3.0,3,2,3,483944.47
del valle,12813 Buenos Aires Pkwy,78617,30.16776848,-97.62343597,1.98,2,True,True,True,False,True,Single Family,2005,239900,9,0,4,2,1,0,0,0,0,6011.0,1762,3.333333333,2.0,4,1,3,264170.75
del valle,11601 Arrowmound Pass,78617,30.15428352,-97.65058136,1.98,0,True,False,True,False,False,Single Family,2003,200000,1,0,4,1,0,0,0,0,0,6926.0,1326,3.0,2.0,3,1,3,272967.47
del valle,12221 Ferrystone Cv,78617,30.15972137,-97.63627625,1.98,2,True,True,True,False,False,Single Family,2010,131679,5,0,2,2,1,1,0,0,0,10846.0,1655,3.0,3.0,3,2,3,312772.0
del valle,11712 Maybach Dr,78617,30.15768814,-97.64641571,1.98,2,True,True,True,False,False,Single Family,2000,200000,1,0,4,2,3,1,0,1,0,6621.0,1228,3.0,2.0,3,1,3,334025.47
del valle,6004 Arnhem Cv,78617,30.16875839,-97.61647034,1.98,2,True,True,True,False,False,Single Family,2009,212000,5,0,3,2,0,0,0,0,0,10802.0,1752,3.333333333,2.0,4,1,3,275179.9
austin,10505 Cannon Mark Way,78717,30.48640823,-97.79472351,2.21,0,True,False,True,False,False,Single Family,2014,687850,13,0,4,2,0,0,0,0,0,10672.0,4564,7.666666667,6.0,5,2,3,732329.56
austin,15524 Staked Plains Loop,78717,30.49437523,-97.79651642,2.21,2,True,True,True,False,True,Single Family,2007,409000,4,0,6,3,0,0,0,0,0,9060.0,3233,8.333333332999999,4.0,5,2,3,481026.03
austin,15217 Sabal Palm Rd,78724,30.25570679,-97.5769577,1.98,2,True,True,True,False,False,Single Family,2006,199000,3,1,2,2,1,0,0,0,0,7448.0,1511,2.666666667,2.0,3,1,3,303245.28
austin,14004 Chisos Trl,78717,30.49563789,-97.79787445,2.21,0,True,False,True,False,False,Single Family,2008,400000,2,0,3,2,0,0,0,0,0,7666.0,2228,8.333333332999999,2.0,3,1,3,343067.06
austin,14108 Laurinburg Dr,78717,30.49025726,-97.79174042,2.21,2,True,True,True,False,False,Residential,2015,699000,1,0,7,2,2,0,0,0,1,10890.0,4020,7.666666667,4.0,4,2,3,577765.4
austin,14405 Laurinburg Dr,78717,30.48877525,-97.79489899,2.21,2,True,True,True,False,False,Single Family,2013,549900,2,0,4,3,0,0,0,0,0,8494.0,3494,7.666666667,5.0,4,2,3,597814.44
austin,6700 Evelyn Rd,78747,30.08774757,-97.7052002,1.98,2,True,True,True,False,False,Mobile / Manufactured,2007,350000,6,0,3,2,0,0,0,0,0,107593.2,1216,3.333333333,5.0,8,1,3,261542.42
austin,14702 Menifee St,78725,30.2331543,-97.58731842,1.98,2,True,True,True,False,False,Single Family,1999,240000,2,0,4,2,2,0,0,0,0,5183.0,1534,3.0,3.0,3,1,3,518388.78
austin,15303 Lucian St,78725,30.23806572,-97.57801819,1.98,2,True,True,True,False,False,Single Family,2013,249900,1,2,3,2,1,1,0,0,0,7405.0,1738,3.0,2.0,3,1,3,448058.28
austin,14224 Canyon Trl,78717,30.49218941,-97.79308319,2.21,3,True,True,True,False,False,Single Family,2010,400000,2,0,3,3,2,1,0,1,0,12196.8,2630,8.333333332999999,3.0,5,2,3,391408.6
austin,15207 Lucian St,78725,30.23823738,-97.57833099,1.98,2,True,True,True,False,False,Single Family,2012,200000,1,0,5,2,0,0,0,0,0,8145.0,1652,3.0,2.0,3,1,3,356795.56
austin,12525 Verandah Ct,78726,30.42645645,-97.85929108,1.98,2,True,True,True,False,True,Single Family,2004,875000,2,0,8,2,4,1,0,0,0,30056.4,3402,7.0,4.0,4,2,3,977677.3
austin,9601 Cliffbrook Dr,78747,30.10340118,-97.71691132,1.98,2,True,True,True,False,False,Single Family,1970,164995,4,0,1,2,2,2,0,1,0,102366.0,2350,3.333333333,2.0,3,1,3,328030.88
austin,5509 Bonneville Bnd,78744,30.17614555,-97.69814301,1.98,2,True,True,True,False,False,Single Family,2016,287500,2,0,4,2,0,0,0,0,0,6141.0,1634,3.666666667,2.0,3,1,3,263445.06
austin,10912 Crosbyton Ln,78717,30.48899651,-97.79379272,2.21,2,True,True,True,False,False,Single Family,2013,650000,1,0,3,3,1,0,0,2,0,8363.0,3047,7.666666667,4.0,4,1,3,534006.5
austin,4606 Belfield Ln,78725,30.24176788,-97.57905579,1.98,0,True,False,True,False,False,Single Family,2015,196000,1,0,7,1,0,0,0,0,0,5532.0,1399,3.0,2.0,3,1,3,293018.6
austin,11223 Tom Sassman Rd,78747,30.0850296,-97.69979095,1.98,0,False,False,True,False,False,Single Family,1985,239999,5,0,1,0,0,0,0,0,0,411206.4,1264,3.333333333,2.0,3,1,3,208392.33
austin,12512 Verandah Ct,78726,30.42596436,-97.85840607,1.98,0,True,False,True,False,False,Single Family,2005,830000,5,0,4,1,1,3,0,1,0,19166.4,3573,7.0,5.0,4,2,3,1001595.75
austin,14500 James Vincent Dr,78725,30.23158455,-97.59126282,1.98,0,True,False,True,False,False,Single Family,2000,219990,1,0,4,1,0,1,0,0,0,6229.0,2035,3.0,3.0,3,2,3,462524.3
austin,11928 Aitne Ln,78725,30.21509933,-97.63643646,1.98,0,True,False,True,False,False,Single Family,2009,195000,1,0,4,1,0,0,0,0,0,6751.0,1304,3.0,2.0,3,1,3,250147.86
austin,14423 Ridgetop Ter,78732,30.41598701,-97.90055847,1.98,7,True,True,True,True,True,Single Family,2005,4250000,7,0,7,2,0,0,0,0,0,106286.4,7284,7.0,7.0,7,2,3,1983672.0
austin,5524 Loma Alta Dr,78744,30.17544556,-97.69815826,1.98,2,True,True,True,False,False,Single Family,2016,309999,1,0,7,2,0,0,0,0,0,7100.0,1907,3.666666667,3.0,3,2,3,298802.22
austin,10707 Beckwood Dr,78726,30.4428997,-97.824646,1.98,2,True,True,True,False,False,Single Family,1988,427000,5,0,2,2,2,2,0,1,0,10890.0,2484,8.0,3.0,4,2,3,540850.44
austin,2703 Crownover St,78725,30.22610283,-97.59052277,1.98,0,True,False,True,False,False,Single Family,2006,205000,2,0,6,1,0,0,0,0,0,4399.0,2088,3.0,3.0,4,1,3,530062.6
austin,9704 Rodriguez Rd,78747,30.11837578,-97.70490265,1.98,0,True,False,True,False,False,Single Family,2013,300000,4,0,2,0,0,0,0,0,0,43560.0,2100,3.666666667,3.0,4,1,3,301752.97
austin,11429 Running Brush Ln,78717,30.49414444,-97.79753113,2.21,0,True,False,True,False,True,Single Family,2008,344600,3,0,5,2,2,0,0,2,0,6786.0,2134,8.333333332999999,3.0,3,2,3,350549.34
austin,14503 Ridgetop Ter,78732,30.41670609,-97.90070343,1.98,2,True,True,True,True,True,Single Family,1992,3395000,9,0,4,3,3,0,2,0,0,86684.4,4747,7.0,5.0,5,1,3,2695354.8
austin,7212 Garnet Mill Ln,78744,30.16147995,-97.72125244,1.98,2,True,True,True,False,False,Single Family,2015,399900,1,0,4,2,1,4,0,0,0,8537.0,2629,3.666666667,3.0,3,1,3,477467.88
austin,10700 Mcfarlie Cv,78750,30.42639351,-97.79273224,1.98,2,True,True,True,True,False,Single Family,1991,648000,6,0,6,2,2,2,0,0,0,11325.6,2567,9.0,3.0,4,2,3,581073.9
austin,2521 Elara Dr,78725,30.213117600000004,-97.63728333,1.98,0,True,False,True,False,False,Single Family,2009,186500,1,0,3,1,0,0,0,0,0,7797.0,1420,3.0,2.0,3,1,3,272223.34
austin,804 Hatton Hill Ct,78725,30.23823547,-97.58043671,1.98,2,True,True,True,False,False,Single Family,2015,219000,1,0,5,2,1,1,0,0,0,4617.0,1267,3.0,2.0,3,1,3,310947.75
austin,3100 Caleb Dr,78725,30.22929382,-97.59007263,1.98,0,True,False,True,False,False,Single Family,2004,179900,1,0,0,1,0,0,0,0,0,5924.0,1194,3.0,2.0,3,1,3,286854.06
austin,13500 Hymeadow Cir,78729,30.46325684,-97.78580475,2.21,0,True,False,True,False,False,Single Family,2011,405000,1,0,3,2,2,1,0,1,0,5619.0,2142,6.0,2.0,3,1,3,396507.78
austin,14007 Panorama Dr,78732,30.41860008,-97.89057159,1.98,5,True,True,True,False,True,Single Family,2006,2950000,4,0,4,4,0,0,0,0,0,68389.2,9591,7.0,7.0,5,2,3,2708576.0
austin,10207 Fm 1625,78747,30.11583138,-97.71607208,1.98,0,True,False,True,False,True,Single Family,1993,565000,1,0,2,1,3,2,0,0,0,1001880.0,2169,3.333333333,3.0,3,2,3,350524.6
austin,2312 Elara Dr,78725,30.21501923,-97.63804626,1.98,0,True,False,True,False,False,Single Family,2014,194098,1,0,5,1,0,0,0,0,0,5445.0,1296,3.0,2.0,3,1,3,235403.08
austin,5708 Roderick Dr,78724,30.25937271,-97.58674622,1.98,1,True,True,True,False,False,Single Family,2018,255700,2,0,3,2,0,0,0,0,0,6098.0,2570,2.666666667,3.0,4,2,3,318959.88
austin,10701 Beckwood Dr,78726,30.44238663,-97.82499695,1.98,0,True,False,True,False,False,Single Family,1989,495000,1,0,3,1,0,0,0,0,0,9147.0,3140,8.0,3.0,5,2,3,648004.1
austin,5504 Loma Alta Dr,78744,30.1761322,-97.69773102,1.98,2,True,True,True,False,False,Single Family,2016,325000,4,0,4,2,1,1,0,1,0,6141.0,2068,3.666666667,3.0,4,2,3,285690.2
austin,10044 Vallejo Plains Ln #4,78719,30.10301971,-97.69129944,1.98,2,True,True,True,False,False,Single Family,1982,250000,1,0,3,2,2,0,0,0,0,64468.8,2736,3.333333333,2.0,4,1,3,597253.25
austin,15101 Nordyke Ln,78725,30.23895073,-97.5803299,1.98,2,True,True,True,False,True,Single Family,2006,198500,4,0,5,2,1,1,0,0,0,5749.0,1807,3.0,2.0,4,1,3,363939.06
austin,10615 Beckwood Dr,78726,30.44222832,-97.82511139,1.98,2,True,True,True,False,True,Single Family,1990,485000,1,0,5,2,1,1,0,0,0,8624.0,2956,8.0,3.0,5,1,3,796235.6
austin,14515 Ridgetop Ter,78732,30.41809464,-97.90081787,1.98,6,True,True,True,True,True,Single Family,1996,5495000,5,0,2,2,0,0,0,0,0,24829.2,8800,7.0,8.0,5,3,3,2501300.2
austin,12100 Wickline Way,78717,30.49202919,-97.79917908,2.21,2,True,True,True,False,False,Single Family,2016,440000,1,0,4,3,1,2,0,1,0,5536.0,2595,8.333333332999999,3.0,5,2,3,376068.38
austin,2525 Elara Dr,78725,30.21296501,-97.63726807,1.98,0,True,False,True,False,False,Single Family,2010,225000,2,0,5,1,0,0,0,0,0,9626.0,1420,3.0,2.0,3,1,3,252123.73
austin,4010 Louise Lee Dr,78725,30.24004555,-97.58735657,1.98,2,True,True,True,False,True,Single Family,2003,207900,4,0,2,2,0,0,0,0,0,5314.0,1929,3.0,2.0,3,1,3,388140.2
austin,10714 Fountainbleu Cir,78750,30.43397141,-97.8055191,1.98,2,True,True,True,True,False,Single Family,1976,575000,1,0,4,2,1,0,0,0,0,14810.4,2170,8.666666667000001,2.0,4,1,3,485943.84
austin,4015 Ayala Dr,78725,30.23721313,-97.5835495,1.98,0,True,False,True,False,False,Single Family,1996,200000,1,0,2,1,0,1,0,0,0,6969.0,1592,3.0,3.0,3,2,3,366733.06
austin,10816 Crosbyton Ln,78717,30.48861694,-97.79280853,2.21,0,True,False,True,False,False,Single Family,2016,675000,2,0,3,2,1,0,0,0,0,12632.4,3837,7.666666667,5.0,5,2,3,656396.4
austin,8201 Denali Pkwy APT 2,78726,30.42463112,-97.8576889,1.98,0,True,False,True,False,False,Single Family,2011,975000,1,0,3,1,0,0,0,0,0,58806.0,3450,7.0,4.0,4,1,3,961197.06
austin,9512 Eddystone St,78729,30.45297623,-97.78694916,2.21,6,True,True,True,False,False,Single Family,1976,259000,2,0,4,3,0,0,0,0,0,16552.8,1239,5.333333333,2.0,3,1,3,263315.6
austin,7912 Annalise Dr,78744,30.17658806,-97.69738007,1.98,0,True,False,True,False,False,Single Family,2016,275000,1,0,4,1,0,0,0,1,0,5488.0,1449,3.666666667,2.0,3,1,3,243274.3
austin,14611 Highsmith St,78725,30.23699188,-97.58533478,1.98,0,True,False,True,False,False,Single Family,1997,199999,4,0,3,1,1,0,0,0,0,5227.0,1335,3.0,2.0,3,1,3,300798.8
austin,12011 Clayton Creek Ave,78725,30.22005844,-97.63460541,1.98,2,True,True,True,False,False,Single Family,2020,268729,5,0,3,1,0,1,0,1,0,4800.0,1514,3.0,2.0,3,1,3,184168.75
austin,10701 Copper Basin Cv,78717,30.48804855,-97.79401398,2.21,0,True,False,True,False,False,Single Family,2013,625000,1,0,2,2,1,0,0,0,0,15681.6,3111,7.666666667,3.0,4,1,3,500158.38
austin,11204 Tanya Trl,78726,30.44311714,-97.82407379,1.98,4,True,True,True,False,False,Single Family,1989,435000,7,0,2,2,2,0,0,2,0,8973.0,3113,8.0,3.0,4,2,3,661418.0
austin,8016 Annalise Dr,78744,30.17620659,-97.6965332,1.98,0,True,False,True,False,False,Single Family,2016,285000,2,0,4,1,0,0,0,0,0,5662.0,1973,3.666666667,3.0,3,2,3,273715.12
austin,5602 Wolf Ct,78731,30.35284042,-97.79354858,1.98,0,True,False,True,False,False,Townhouse,1995,399900,1,0,3,1,0,0,0,0,0,3963.0,1487,7.0,2.0,2,1,3,502572.7
austin,809 Silver Wing Dr,78725,30.23677063,-97.58175659,1.98,0,True,False,True,False,False,Single Family,2016,215000,1,0,3,1,0,0,0,0,0,5749.0,1370,3.0,2.0,3,1,3,292342.38
austin,12709 Cloud Mountain Xing,78726,30.42306328,-97.86306763,1.98,2,True,True,True,False,False,Single Family,2000,519500,3,0,2,2,1,3,0,0,0,7666.0,3055,7.0,4.0,4,2,3,760464.7
austin,9621 Solana Vista Loop #B,78750,30.39213753,-97.8269043,1.98,0,True,False,True,False,False,Townhouse,2010,450000,1,0,2,1,0,0,0,0,0,6368.0,2283,7.0,3.0,4,2,3,382875.16
austin,11100 Amesite Trl,78726,30.43273163,-97.82700348,1.98,0,True,False,True,False,False,Single Family,1995,463700,1,0,2,1,0,0,0,0,0,9539.0,3115,8.0,3.0,4,2,3,685117.56
austin,14304 Rosseau St,78725,30.24313545,-97.58552551,1.98,2,True,True,True,False,False,Single Family,1987,209900,1,0,7,2,0,0,0,1,0,5558.0,1419,3.0,2.0,3,1,3,323390.0
austin,5217 Bonneville Bnd,78744,30.17849541,-97.6966629,1.98,2,True,True,True,False,False,Single Family,2016,375000,2,0,2,2,1,0,0,0,0,6969.0,2682,3.666666667,5.0,7,2,3,422138.28
austin,12008 Thyone Dr,78725,30.21564484,-97.63555145,1.98,2,True,True,True,False,False,Single Family,2014,229900,1,0,2,2,1,1,0,0,0,4573.0,1936,3.0,3.0,4,2,3,393152.34
austin,12726 Cloud Mountain Xing,78726,30.42333984,-97.8644104,1.98,2,True,True,True,False,True,Single Family,2001,549900,1,0,3,2,0,0,0,0,0,10105.0,3794,7.0,4.0,4,2,3,937428.0
austin,7003 Jester Blvd,78750,30.37599945,-97.7984848,1.98,0,True,False,True,False,False,Single Family,1983,690000,3,0,5,1,0,0,0,0,0,10367.0,2967,7.0,3.0,4,2,3,479187.84
austin,10704 Copper Basin Cv,78717,30.48835182,-97.79445648,2.21,0,True,False,True,False,False,Single Family,2014,584900,1,0,3,2,0,0,0,0,0,7501.0,3787,7.666666667,4.0,5,2,3,556472.75
pflugerville,1008 Bethel Way,78660,30.43100929,-97.66204071,1.98,2,True,True,True,False,False,Single Family,2011,287500,3,0,3,2,0,0,0,0,0,7623.0,2314,2.666666667,3.0,5,1,3,416804.62
austin,11902 Arch Hill Dr,78750,30.44328117,-97.79827881,1.98,0,True,False,True,False,False,Single Family,1977,599800,2,0,7,1,2,1,0,1,0,11325.6,2753,8.666666667000001,3.0,5,1,3,651917.75
austin,5229 Bonneville Bnd,78744,30.17821121,-97.69682312,1.98,0,True,False,True,False,False,Single Family,2016,325000,1,0,4,1,0,0,0,0,0,6185.0,2068,3.666666667,3.0,4,2,3,270482.53
austin,14904 Mistletoe Heights Dr,78717,30.50044441,-97.79090881,2.21,2,True,True,True,False,False,Single Family,2006,350000,2,0,4,3,1,1,0,1,0,5140.0,1791,8.333333332999999,3.0,3,2,3,313771.44
austin,12704 Cloud Mountain Xing,78726,30.42362785,-97.86334991,1.98,0,True,False,True,False,False,Single Family,2001,574900,1,0,3,1,0,0,0,0,0,11325.6,3338,7.0,4.0,4,2,3,790393.4
austin,9413 Solana Vista Loop #B,78750,30.39304733,-97.82636261,1.98,2,True,True,True,False,False,Condo,2013,374000,3,0,3,2,0,0,0,0,0,6368.0,2283,7.0,3.0,4,2,3,353469.47
austin,11907 Arch Hill Dr,78750,30.44368362,-97.79793549,1.98,0,True,False,True,False,False,Single Family,1977,699900,3,0,3,1,1,1,0,1,0,27442.8,2997,8.666666667000001,3.0,4,1,3,702503.5
austin,4617 Cleto St,78725,30.24139214,-97.57658386,1.98,0,True,False,True,False,False,Single Family,2017,205000,2,0,3,1,0,0,0,1,0,7274.0,1225,3.0,2.0,3,1,3,239335.39
austin,8225 Phantom Canyon Dr,78726,30.4257164,-97.86064148,1.98,2,True,True,True,False,False,Single Family,2002,425000,3,0,3,2,1,2,0,1,0,9670.0,2864,7.0,3.0,5,1,3,624443.06
austin,5706 Eagle Clfs,78731,30.35377121,-97.79362488,1.98,0,True,False,True,False,False,Single Family,1984,425000,1,0,7,1,0,2,0,1,0,3920.0,1573,7.0,2.0,3,1,3,469801.47
austin,9008 Scotsman Dr,78750,30.42850685,-97.79425049,1.98,2,True,True,True,False,True,Single Family,1988,684000,3,0,3,2,1,1,0,0,0,10454.0,2656,9.0,3.0,4,2,3,585454.25
austin,10512 Dunham Forest Rd,78717,30.49367523,-97.78601074,2.21,2,True,True,True,False,True,Single Family,2002,359965,1,0,4,3,2,1,0,1,0,5140.0,1975,8.333333332999999,3.0,4,2,3,340713.03
austin,4602 Sherwyn Dr,78725,30.28166008,-97.66173553,1.98,0,True,False,True,False,False,Single Family,1971,120000,7,0,1,1,0,0,0,0,0,9452.0,1745,3.666666667,2.0,4,1,3,301090.28
pflugerville,1012 Bethel Way,78660,30.4310627,-97.66221619,1.98,0,True,False,True,False,False,Single Family,2011,225000,5,0,4,1,0,0,0,0,0,8276.0,1375,2.666666667,2.0,3,1,3,195663.25
austin,7716 Barbary Ct,78744,30.16103935,-97.71595001,1.98,0,True,False,True,False,False,Single Family,2017,388990,3,0,4,1,0,0,0,0,0,6969.0,2502,3.666666667,3.0,4,1,3,341081.66
austin,8711 Crest Ridge Cir,78750,30.43559074,-97.78577423,1.98,2,True,True,True,False,True,Single Family,1972,435000,2,0,3,2,0,0,0,0,0,16988.4,2313,8.666666667000001,2.0,4,1,3,472792.25
austin,7601 Almond Cv,78750,30.38071632,-97.78955841,1.98,2,True,True,True,True,True,Single Family,1989,795000,2,0,7,2,0,1,0,1,0,15246.0,2700,7.0,3.0,4,2,3,490310.6
austin,15013 Roody Ln,78725,30.23648262,-97.58241272,1.98,4,True,True,True,False,False,Single Family,2016,218800,2,0,3,2,0,0,0,0,0,5706.0,1480,3.0,2.0,3,1,3,335715.7
austin,Esper Ln,78725,30.23937988,-97.57323456,1.98,0,True,False,True,False,False,Condo,2015,200000,1,0,3,1,2,1,0,0,0,6194.0,1321,3.0,3.0,3,2,3,373152.94
austin,11104 Crossland Dr,78726,30.44245338,-97.82276917,1.98,0,True,False,True,False,False,Single Family,1989,368500,2,0,0,1,0,0,0,0,0,7230.0,2267,8.0,2.0,4,1,3,492928.0
austin,6217 Seville Dr,78724,30.29319191,-97.64196777,1.98,2,True,True,True,False,True,Single Family,2018,454500,1,0,1,2,2,2,0,1,0,5749.0,2508,3.666666667,3.0,3,1,4,379112.03
pflugerville,1101 Cadence Dr,78660,30.41343117,-97.64426422,1.98,2,True,True,True,False,False,Single Family,2017,285000,1,0,3,2,0,1,0,0,0,12196.8,1791,3.666666667,2.0,3,1,3,366549.4
austin,4202 Plantain Cv,78730,30.35632515,-97.8372345,1.98,3,True,True,True,False,True,Single Family,1996,799000,5,0,2,2,0,0,0,0,0,142441.2,4491,7.0,7.0,5,2,3,1512794.9
austin,14310 Cottingham Dr,78725,30.2332058,-97.59135437,1.98,0,True,False,True,False,False,Single Family,2010,199000,2,0,3,1,0,0,0,0,0,4007.0,1268,3.0,2.0,3,1,3,263991.06
austin,14017 Genesee Trl,78717,30.48777962,-97.79277039,2.21,0,True,False,True,False,False,Single Family,2014,622800,1,0,3,2,0,0,0,0,0,7187.0,2903,7.666666667,3.0,3,1,3,480883.38
austin,12619 Cloud Mountain Xing,78726,30.42370224,-97.86214447,1.98,0,True,False,True,False,False,Single Family,2000,429000,9,0,5,1,1,0,0,0,0,11325.6,3033,7.0,4.0,4,2,3,615164.5
austin,9016 Elfen Cv,78724,30.28354454,-97.62621307,1.98,0,True,False,True,False,False,Single Family,2009,259900,1,0,3,1,0,0,0,0,0,12196.8,2573,3.666666667,3.0,3,2,4,320101.88
austin,9010 Spring Lake Dr,78750,30.43855476,-97.79472351,1.98,5,True,True,True,False,True,Single Family,1977,629000,3,0,7,2,3,1,0,0,0,13503.6,2340,8.666666667000001,3.0,4,2,3,603737.25
austin,14109 Genesee Trl,78717,30.48757362,-97.79372406,2.21,0,True,False,True,False,True,Single Family,2014,525000,3,0,3,2,0,0,0,0,0,7710.0,3187,7.666666667,3.0,4,2,3,422207.88
austin,8108 Red Bird Ct,78726,30.42442703,-97.86241913,1.98,2,True,True,True,False,False,Single Family,2002,345000,6,0,1,3,4,2,0,0,0,7492.0,3675,7.0,4.0,5,2,3,975841.06
austin,1804 Rinker Ranch Dr,78725,30.21903992,-97.63545227,1.98,2,True,True,True,False,False,Single Family,2017,255000,1,0,3,2,0,1,0,1,0,5000.0,1641,3.0,2.0,3,1,3,298564.56
austin,5501 Gooding Dr,78744,30.17507362,-97.69345856,1.98,0,True,False,True,False,True,Single Family,2019,282226,1,0,0,0,1,0,0,0,0,5532.0,1413,3.666666667,2.0,3,1,3,242865.75
austin,15108 Stave Oak Ln,78724,30.25222778,-97.58052063,1.98,2,True,True,True,False,False,Single Family,2004,180000,3,0,4,2,0,0,0,0,0,6229.0,1326,2.666666667,2.0,3,1,3,281701.44
austin,2907 Crownover St,78725,30.22755814,-97.58959198,1.98,0,True,False,True,False,False,Single Family,2005,184900,2,0,5,1,0,0,0,1,0,4312.0,1203,3.0,2.0,3,1,3,243690.61
austin,7004 Juneberry Cv,78750,30.37546539,-97.79732513,1.98,2,True,True,True,False,False,Single Family,1982,750000,2,0,4,2,1,0,0,1,0,8319.0,2922,7.0,4.0,3,2,3,635638.9
austin,11129 Rio Vista Dr,78726,30.4350853,-97.82764435,1.98,4,True,True,True,False,False,Single Family,1996,475000,1,1,3,2,5,3,0,0,0,7405.0,2428,8.0,3.0,3,2,3,817595.75
austin,2420 Kale Dr,78725,30.21356583,-97.63741302,1.98,4,True,True,True,False,True,Single Family,2010,219000,1,0,4,2,1,3,0,0,0,10000.0,1256,3.0,2.0,3,1,3,349006.53
pflugerville,14504 Lake Victor Dr,78660,30.4310627,-97.66323853,1.98,0,True,False,True,False,False,Single Family,2011,293300,6,0,3,1,0,0,0,0,0,6011.0,3047,2.666666667,3.0,3,2,3,503439.7
austin,14311 Kincheloe St,78725,30.24378967,-97.58449554,1.98,0,True,False,True,False,False,Single Family,1988,229999,1,0,4,1,0,0,0,1,0,7274.0,1712,3.0,3.0,3,2,3,372754.1
austin,9012 Spring Lake Dr,78750,30.43881416,-97.79473877,1.98,0,True,False,True,False,False,Single Family,1975,415000,1,0,0,1,0,0,0,0,0,13503.6,2234,8.666666667000001,3.0,3,1,3,603570.06
austin,6021 Signal Point,78724,30.2913475,-97.64522552,1.98,2,True,True,True,False,False,Single Family,1980,175000,2,0,2,2,0,0,0,0,0,4835.0,1315,3.666666667,2.0,3,1,4,296242.1
austin,7609 Crossmeadow Dr,78750,30.37837791,-97.7857132,1.98,0,True,False,True,False,False,Single Family,1971,398900,4,0,0,1,0,0,0,0,0,20037.6,2089,7.0,2.0,3,1,3,360055.66
austin,7100 Auburn Blaze Ln,78744,30.16173935,-97.71949768,1.98,0,True,False,True,False,True,Single Family,2016,389900,4,0,7,1,2,2,0,1,0,9626.0,3319,3.666666667,3.0,5,2,3,415166.1
